"Regiao - Sigla","Estado - Sigla","Municipio","Revenda","CNPJ da Revenda","Nome da Rua","Numero Rua","Complemento","Bairro","Cep","Produto","Data da Coleta","Valor de Venda","Valor de Compra","Unidade de Medida","Bandeira","Coluna1"
"NE","CE","MARACANAU","J & L COMERCIO DE COMBUSTIVEIS LTDA"," 21.152.627/0001-38","RUA HERMES CASTELO BRANCO","41","","JACANAU","61915-430","GASOLINA ADITIVADA","1/3/2022","6.67","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","MARACANAU","J & L COMERCIO DE COMBUSTIVEIS LTDA"," 21.152.627/0001-38","RUA HERMES CASTELO BRANCO","41","","JACANAU","61915-430","DIESEL S10","1/3/2022","5.37","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","MARACANAU","HP CHAVES COMERCIO DE COMBUSTIVEIS LTDA"," 22.749.900/0001-79","RUA VICENTE ALVES DE PAULA","150","","JAÇANAÚ","61915-095","GASOLINA","1/3/2022","6.47","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","HP CHAVES COMERCIO DE COMBUSTIVEIS LTDA"," 22.749.900/0001-79","RUA VICENTE ALVES DE PAULA","150","","JAÇANAÚ","61915-095","ETANOL","1/3/2022","5.37","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","HP CHAVES COMERCIO DE COMBUSTIVEIS LTDA"," 22.749.900/0001-79","RUA VICENTE ALVES DE PAULA","150","","JAÇANAÚ","61915-095","GASOLINA ADITIVADA","1/3/2022","6.77","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","HP CHAVES COMERCIO DE COMBUSTIVEIS LTDA"," 22.749.900/0001-79","RUA VICENTE ALVES DE PAULA","150","","JAÇANAÚ","61915-095","DIESEL S10","1/3/2022","5.37","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","J P COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA"," 08.286.434/0003-73","RUA CONÊGO DE CASTRO","9651","","ALTO ALEGRE II","61921-525","GASOLINA","1/3/2022","6.47","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","J P COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA"," 08.286.434/0003-73","RUA CONÊGO DE CASTRO","9651","","ALTO ALEGRE II","61921-525","ETANOL","1/3/2022","5.69","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","J P COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA"," 08.286.434/0003-73","RUA CONÊGO DE CASTRO","9651","","ALTO ALEGRE II","61921-525","GASOLINA ADITIVADA","1/3/2022","6.67","","R$ / litro","RAIZEN",""
"NE","CE","MARACANAU","J P COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA"," 08.286.434/0003-73","RUA CONÊGO DE CASTRO","9651","","ALTO ALEGRE II","61921-525","DIESEL S10","1/3/2022","5.49","","R$ / litro","RAIZEN",""
"NE","CE","ITAPIPOCA","SAO PEDRO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA."," 24.873.633/0001-72","RUA MAJOR ANTONIO RODRIGUES TEIXEIRA","1390","","CRUZEIRO","62503-126","GASOLINA","1/3/2022","7.11","","R$ / litro","RAIZEN",""
"NE","CE","ITAPIPOCA","SAO PEDRO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA."," 24.873.633/0001-72","RUA MAJOR ANTONIO RODRIGUES TEIXEIRA","1390","","CRUZEIRO","62503-126","ETANOL","1/3/2022","5.95","","R$ / litro","RAIZEN",""
"NE","CE","ITAPIPOCA","SAO PEDRO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA."," 24.873.633/0001-72","RUA MAJOR ANTONIO RODRIGUES TEIXEIRA","1390","","CRUZEIRO","62503-126","GASOLINA ADITIVADA","1/3/2022","7.16","","R$ / litro","RAIZEN",""
"NE","CE","ITAPIPOCA","SAO PEDRO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA."," 24.873.633/0001-72","RUA MAJOR ANTONIO RODRIGUES TEIXEIRA","1390","","CRUZEIRO","62503-126","DIESEL S10","1/3/2022","6.07","","R$ / litro","RAIZEN",""
"NE","CE","ITAPIPOCA","CRUZEIRO COMERCIO DE COMBUSTIVEIS EIRELI"," 29.846.539/0001-48","RUA MAJOR ANTONIO RODRIGUES","446","","CRUZEIRO","62500-000","GASOLINA","1/3/2022","7.12","","R$ / litro","BRANCA",""
"NE","CE","ITAPIPOCA","CRUZEIRO COMERCIO DE COMBUSTIVEIS EIRELI"," 29.846.539/0001-48","RUA MAJOR ANTONIO RODRIGUES","446","","CRUZEIRO","62500-000","ETANOL","1/3/2022","5.96","","R$ / litro","BRANCA",""
"NE","CE","ITAPIPOCA","CRUZEIRO COMERCIO DE COMBUSTIVEIS EIRELI"," 29.846.539/0001-48","RUA MAJOR ANTONIO RODRIGUES","446","","CRUZEIRO","62500-000","GASOLINA ADITIVADA","1/3/2022","7.12","","R$ / litro","BRANCA",""
"NE","CE","ITAPIPOCA","CRUZEIRO COMERCIO DE COMBUSTIVEIS EIRELI"," 29.846.539/0001-48","RUA MAJOR ANTONIO RODRIGUES","446","","CRUZEIRO","62500-000","DIESEL S10","1/3/2022","6.05","","R$ / litro","BRANCA",""
"NE","CE","ITAPIPOCA","POSTO A+ COMERCIO DE COMBUSTIVEIS LTDA"," 18.717.475/0006-73","AVENIDA MONSENHOR TABOSA","3199","","JULHO II","62500-001","GASOLINA","1/3/2022","7.11","","R$ / litro","IPIRANGA",""
"NE","CE","ITAPIPOCA","POSTO A+ COMERCIO DE COMBUSTIVEIS LTDA"," 18.717.475/0006-73","AVENIDA MONSENHOR TABOSA","3199","","JULHO II","62500-001","ETANOL","1/3/2022","5.95","","R$ / litro","IPIRANGA",""
"NE","CE","ITAPIPOCA","POSTO A+ COMERCIO DE COMBUSTIVEIS LTDA"," 18.717.475/0006-73","AVENIDA MONSENHOR TABOSA","3199","","JULHO II","62500-001","DIESEL S10","1/3/2022","6.05","","R$ / litro","IPIRANGA",""
"NE","CE","CRATEUS","L G OLIVEIRA - EPP"," 41.405.226/0001-50","AVENIDA EDILBERTO FROTA","1452","","FATIMA I","63700-000","DIESEL S10","1/4/2022","5.94","","R$ / litro","SP",""
"NE","CE","CRATEUS","L G OLIVEIRA - EPP"," 41.405.226/0001-50","AVENIDA EDILBERTO FROTA","1452","","FATIMA I","63700-000","GASOLINA ADITIVADA","1/4/2022","7.06","","R$ / litro","SP",""
"NE","CE","CRATEUS","L G OLIVEIRA - EPP"," 41.405.226/0001-50","AVENIDA EDILBERTO FROTA","1452","","FATIMA I","63700-000","ETANOL","1/4/2022","5.89","","R$ / litro","SP",""
"NE","CE","CRATEUS","L G OLIVEIRA - EPP"," 41.405.226/0001-50","AVENIDA EDILBERTO FROTA","1452","","FATIMA I","63700-000","GASOLINA","1/4/2022","6.99","","R$ / litro","SP",""
"NE","CE","QUIXADA","CIRO GOMES MAGALHAES"," 41.424.276/0003-46","RODOVIA CE   456  KM  01","S/N","SITIO  ITAJUBA","ZONA  URBANA","63900-002","DIESEL S10","1/4/2022","5.79","","R$ / litro","RAIZEN",""
"NE","CE","QUIXADA","CIRO GOMES MAGALHAES"," 41.424.276/0003-46","RODOVIA CE   456  KM  01","S/N","SITIO  ITAJUBA","ZONA  URBANA","63900-002","GASOLINA ADITIVADA","1/4/2022","6.99","","R$ / litro","RAIZEN",""
"NE","CE","QUIXADA","CIRO GOMES MAGALHAES"," 41.424.276/0003-46","RODOVIA CE   456  KM  01","S/N","SITIO  ITAJUBA","ZONA  URBANA","63900-002","ETANOL","1/4/2022","5.89","","R$ / litro","RAIZEN",""
"NE","CE","QUIXADA","CIRO GOMES MAGALHAES"," 41.424.276/0003-46","RODOVIA CE   456  KM  01","S/N","SITIO  ITAJUBA","ZONA  URBANA","63900-002","GASOLINA","1/4/2022","6.79","","R$ / litro","RAIZEN",""
"NE","CE","QUIXADA","POSTO MONOLITOS LTDA"," 05.159.709/0001-58","AVENIDA PLACIDO  CASTELO","1599","","CENTRO","63900-000","DIESEL S10","1/4/2022","5.54","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","QUIXADA","POSTO MONOLITOS LTDA"," 05.159.709/0001-58","AVENIDA PLACIDO  CASTELO","1599","","CENTRO","63900-000","GASOLINA ADITIVADA","1/4/2022","6.69","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","QUIXADA","POSTO MONOLITOS LTDA"," 05.159.709/0001-58","AVENIDA PLACIDO  CASTELO","1599","","CENTRO","63900-000","DIESEL","1/4/2022","5.49","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","QUIXADA","POSTO MONOLITOS LTDA"," 05.159.709/0001-58","AVENIDA PLACIDO  CASTELO","1599","","CENTRO","63900-000","ETANOL","1/4/2022","5.84","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","QUIXADA","POSTO MONOLITOS LTDA"," 05.159.709/0001-58","AVENIDA PLACIDO  CASTELO","1599","","CENTRO","63900-000","GASOLINA","1/4/2022","6.59","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","CRATEUS","AG EMPREENDIMENTOS DE PETROLEO LTDA - EPP"," 09.325.005/0001-69","AVENIDA EDILBERTO FROTA","2125","","PLANALTO","63700-000","DIESEL S10","1/4/2022","5.93","","R$ / litro","BRANCA",""
"NE","CE","CRATEUS","AG EMPREENDIMENTOS DE PETROLEO LTDA - EPP"," 09.325.005/0001-69","AVENIDA EDILBERTO FROTA","2125","","PLANALTO","63700-000","GASOLINA ADITIVADA","1/4/2022","7.04","","R$ / litro","BRANCA",""
"NE","CE","CRATEUS","AG EMPREENDIMENTOS DE PETROLEO LTDA - EPP"," 09.325.005/0001-69","AVENIDA EDILBERTO FROTA","2125","","PLANALTO","63700-000","DIESEL","1/4/2022","5.88","","R$ / litro","BRANCA",""
"NE","CE","CRATEUS","AG EMPREENDIMENTOS DE PETROLEO LTDA - EPP"," 09.325.005/0001-69","AVENIDA EDILBERTO FROTA","2125","","PLANALTO","63700-000","ETANOL","1/4/2022","6.1","","R$ / litro","BRANCA",""
"NE","CE","CRATEUS","AG EMPREENDIMENTOS DE PETROLEO LTDA - EPP"," 09.325.005/0001-69","AVENIDA EDILBERTO FROTA","2125","","PLANALTO","63700-000","GASOLINA","1/4/2022","6.98","","R$ / litro","BRANCA",""
"NE","CE","CRATEUS","J LEITAO E COMPANHIA LTDA"," 07.569.593/0001-50","RUA FREI VIDAL DA PENHA","1388","","SAO JOSE","63704-015","DIESEL S10","1/4/2022","6.47","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","CRATEUS","J LEITAO E COMPANHIA LTDA"," 07.569.593/0001-50","RUA FREI VIDAL DA PENHA","1388","","SAO JOSE","63704-015","GASOLINA ADITIVADA","1/4/2022","7.58","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","CRATEUS","J LEITAO E COMPANHIA LTDA"," 07.569.593/0001-50","RUA FREI VIDAL DA PENHA","1388","","SAO JOSE","63704-015","ETANOL","1/4/2022","6.63","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","CRATEUS","J LEITAO E COMPANHIA LTDA"," 07.569.593/0001-50","RUA FREI VIDAL DA PENHA","1388","","SAO JOSE","63704-015","GASOLINA","1/4/2022","7.49","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","CRATEUS","IRMAOS LEITAO COMERCIO DE DERIVADOS DE PETROLEO LTDA"," 01.699.009/0001-03","AVENIDA SARGENTO HERMINIO","500","0","VENÂNCIO","63700-000","DIESEL S10","1/4/2022","6.09","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","CRATEUS","IRMAOS LEITAO COMERCIO DE DERIVADOS DE PETROLEO LTDA"," 01.699.009/0001-03","AVENIDA SARGENTO HERMINIO","500","0","VENÂNCIO","63700-000","GASOLINA ADITIVADA","1/4/2022","7.27","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","CRATEUS","IRMAOS LEITAO COMERCIO DE DERIVADOS DE PETROLEO LTDA"," 01.699.009/0001-03","AVENIDA SARGENTO HERMINIO","500","0","VENÂNCIO","63700-000","DIESEL","1/4/2022","5.19","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","CRATEUS","IRMAOS LEITAO COMERCIO DE DERIVADOS DE PETROLEO LTDA"," 01.699.009/0001-03","AVENIDA SARGENTO HERMINIO","500","0","VENÂNCIO","63700-000","ETANOL","1/4/2022","6.12","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","CRATEUS","IRMAOS LEITAO COMERCIO DE DERIVADOS DE PETROLEO LTDA"," 01.699.009/0001-03","AVENIDA SARGENTO HERMINIO","500","0","VENÂNCIO","63700-000","GASOLINA","1/4/2022","7.19","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","FORTALEZA","COMERCIAL DE COMBUSTIVEIS CASTELAO LTDA."," 09.336.183/0001-95","AVENIDA ALBERTO CRAVEIRO","2585","","CASTELAO","60860-000","DIESEL S10","1/4/2022","5.69","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","FORTALEZA","COMERCIAL DE COMBUSTIVEIS CASTELAO LTDA."," 09.336.183/0001-95","AVENIDA ALBERTO CRAVEIRO","2585","","CASTELAO","60860-000","GASOLINA ADITIVADA","1/4/2022","6.99","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","FORTALEZA","COMERCIAL DE COMBUSTIVEIS CASTELAO LTDA."," 09.336.183/0001-95","AVENIDA ALBERTO CRAVEIRO","2585","","CASTELAO","60860-000","ETANOL","1/4/2022","5.69","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","FORTALEZA","COMERCIAL DE COMBUSTIVEIS CASTELAO LTDA."," 09.336.183/0001-95","AVENIDA ALBERTO CRAVEIRO","2585","","CASTELAO","60860-000","GASOLINA","1/4/2022","6.77","","R$ / litro","VIBRA ENERGIA",""
"NE","CE","FORTALEZA","CENTRO EMPRESARIAL DRA ZUILA ALENCAR BARREIRA BRAGA LTD"," 41.557.018/0001-76","AVENIDA JOSE BASTOS","3950","","DAMAS","60020-292","DIESEL S10","1/4/2022","5.69","","R$ / litro","IPIRANGA",""
"NE","CE","FORTALEZA","CENTRO EMPRESARIAL DRA ZUILA ALENCAR BARREIRA BRAGA LTD"," 41.557.018/0001-76","AVENIDA JOSE BASTOS","3950","","DAMAS","60020-292","GASOLINA ADITIVADA","1/4/2022","7.09","","R$ / litro","IPIRANGA",""
"NE","CE","FORTALEZA","CENTRO EMPRESARIAL DRA ZUILA ALENCAR BARREIRA BRAGA LTD"," 41.557.018/0001-76","AVENIDA JOSE BASTOS","3950","","DAMAS","60020-292","ETANOL","1/4/2022","5.69","","R$ / litro","IPIRANGA",""
"NE","CE","FORTALEZA","CENTRO EMPRESARIAL DRA ZUILA ALENCAR BARREIRA BRAGA LTD"," 41.557.018/0001-76","AVENIDA JOSE BASTOS","3950","","DAMAS","60020-292","GASOLINA","1/4/2022","6.68","","R$ / litro","IPIRANGA",""
"NE","CE","FORTALEZA","CÂMARA & PESSOA COMERCIAL LTDA"," 03.037.449/0001-12","AVENIDA AMÉRICO BARREIRA","4855","0","BELA VISTA","60442-801","DIESEL S10","1/4/2022","5.58","","R$ / litro","BRANCA",""
"NE","CE","FORTALEZA","CÂMARA & PESSOA COMERCIAL LTDA"," 03.037.449/0001-12","AVENIDA AMÉRICO BARREIRA","4855","0","BELA VISTA","60442-801","ETANOL","1/4/2022","5.29","","R$ / litro","BRANCA",""
"NE","CE","FORTALEZA","CÂMARA & PESSOA COMERCIAL LTDA"," 03.037.449/0001-12","AVENIDA AMÉRICO BARREIRA","4855","0","BELA VISTA","60442-801","GASOLINA","1/4/2022","6.49","","R$ / litro","BRANCA",""
"NE","CE","FORTALEZA","G A COMERCIO DE DERIVADOS DE PETROLEO LTDA"," 03.477.535/0001-46","AVENIDA JORNALISTA TOMAZ COELHO","410","","MESSEJANA","60842-020","DIESEL S10","1/4/2022","5.49","","R$ / litro","IPIRANGA",""
"NE","CE","FORTALEZA","G A COMERCIO DE DERIVADOS DE PETROLEO LTDA"," 03.477.535/0001-46","AVENIDA JORNALISTA TOMAZ COELHO","410","","MESSEJANA","60842-020","GASOLINA ADITIVADA","1/4/2022","6.69","","R$ / litro","IPIRANGA",""
